alltime,artist,country,id,pollyear,position,releaseyear,track
TRUE,Violent Femmes,USA,95,1991,9,1982,Blister In The Sun
TRUE,New Order,UK,96,1991,10,1983,Blue Monday
TRUE,The Cure,UK,97,1991,11,1987,Just Like Heaven
TRUE,The The,UK,98,1991,13,1983,Uncertain Smile
TRUE,Nick Cave & The Bad Seeds,Australia,99,1991,14,1990,The Ship Song
TRUE,The Cult,UK,100,1991,16,1985,She Sells Sanctuary
TRUE,Violent Femmes,USA,101,1991,18,1982,Add It Up
TRUE,Kate Bush,UK,102,1991,19,1978,Wuthering Heights
TRUE,Falling Joys,Australia,103,1991,20,1990,Lock It
TRUE,Violent Femmes,USA,104,1991,21,1983,Kiss Off
TRUE,Billy Bragg,UK,105,1991,22,1991,Sexuality
TRUE,New Order,UK,106,1991,24,1986,Bizarre Love Triangle
TRUE,Sex Pistols,UK,107,1991,25,1976,Anarchy in the U.K.
TRUE,Dead Kennedys,USA,108,1991,26,1980,Holiday in Cambodia
TRUE,Pixies,USA,109,1991,28,1989,Debaser
TRUE,The Smiths,UK,110,1991,29,1983,This Charming Man
TRUE,Led Zeppelin,UK,111,1991,30,1971,Stairway to Heaven
TRUE,The Church,Australia,112,1991,31,1988,Under the Milky Way
TRUE,R.E.M.,USA,113,1991,32,1991,Losing My Religion
TRUE,Clouds,Australia,114,1991,33,1991,Hieronymus
TRUE,Died Pretty,Australia,115,1991,34,1991,DC
TRUE,The Cure,UK,116,1991,35,1981,Primary
TRUE,The Smiths,UK,117,1991,36,1986,There Is a Light That Never Goes Out
TRUE,The Cure,UK,118,1991,37,1985,Close to Me
TRUE,Boys Next Door,Australia,119,1991,38,1978,Shivers
TRUE,Red Hot Chili Peppers,USA,120,1991,39,1991,Give It Away
TRUE,R.E.M.,USA,121,1991,40,1987,The One I Love
TRUE,The Cure,UK,122,1991,44,1989,Lullaby
TRUE,Hunters & Collectors,Australia,123,1991,45,1982,Talking to a Stranger
TRUE,They Might Be Giants,USA,124,1991,46,1990,Birdhouse in Your Soul
TRUE,Radio Birdman,Australia,125,1991,47,1978,Aloha Steve and Danno
TRUE,The Cure,UK,126,1991,48,1985,In Between Days
TRUE,Queen,UK,127,1991,49,1975,Bohemian Rhapsody
TRUE,This Mortal Coil,UK,128,1991,50,1983,Song to the Siren
TRUE,Tall Tales and True,Australia,129,1991,51,1989,Trust
TRUE,The Triffids,Australia,130,1991,52,1986,Wide Open Road
TRUE,Hunters & Collectors,Australia,131,1991,53,1984,The Slab
TRUE,Soft Cell,UK,132,1991,54,1981,Tainted Love
TRUE,New Order,UK,133,1991,55,1987,True Faith
TRUE,Sonic Youth,USA,134,1991,56,1990,Kool Thing
TRUE,Billy Bragg,UK,135,1991,57,1988,Waiting for the Great Leap Forward
TRUE,Pink Floyd,UK,136,1991,58,1975,Wish You Were Here
TRUE,The Doors,USA,137,1991,59,1967,The End
TRUE,Metallica,USA,138,1991,60,1991,Enter Sandman
TRUE,The Jimi Hendrix Experience,USA,139,1991,61,1968,All Along the Watchtower
TRUE,R.E.M.,USA,140,1991,62,1988,Orange Crush
TRUE,Metallica,USA,141,1991,63,1991,The Unforgiven
TRUE,Massive Attack,UK,142,1991,64,1991,Unfinished Sympathy
TRUE,R.E.M.,USA,143,1991,65,1986,Fall On Me
TRUE,Straitjacket Fits,New Zealand,144,1991,66,1990,Down in Splendour
TRUE,Clouds,Australia,145,1991,67,1991,4 PM
TRUE,The Cure,UK,146,1991,68,1989,Pictures of You
TRUE,Frente!,Australia,147,1991,69,1991,Labour of Love
TRUE,The Church,Australia,148,1991,70,1981,The Unguarded Moment
TRUE,The Smiths,UK,149,1991,72,1986,Bigmouth Strikes Again
TRUE,Pink Floyd,UK,150,1991,73,1979,Comfortably Numb
TRUE,The Cure,UK,151,1991,74,1983,The Lovecats
TRUE,Billy Bragg,UK,152,1991,75,1986,Levi Stubbs Tears
TRUE,Nirvana,USA,153,1991,76,1991,Come As You Are
TRUE,The Doors,USA,154,1991,78,1971,L.A Woman
TRUE,Dinosaur Jr,USA,155,1991,79,1988,Freak Scene
TRUE,Def FX,Australia,156,1991,80,1990,Surfers of the Mind
TRUE,The Stone Roses,UK,157,1991,81,1989,She Bangs The Drums
TRUE,Ride,UK,158,1991,82,1991,Vapour Trail
TRUE,Yothu Yindi,Australia,159,1991,83,1991,Treaty
TRUE,The Only Ones,UK,160,1991,84,1978,"Another Girl, Another Planet"
TRUE,The Wonder Stuff,UK,161,1991,86,1991,The Size of a Cow
TRUE,The Rolling Stones,UK,162,1991,87,1968,Sympathy for the Devil
TRUE,Nick Cave & The Bad Seeds,Australia,163,1991,88,1988,Mercy Seat
TRUE,Metallica,USA,164,1991,89,1989,One
TRUE,My Bloody Valentine,Ireland,165,1991,90,1991,Soon
TRUE,Pixies,USA,166,1991,91,1989,Monkey Gone to Heaven
TRUE,Public Enemy,USA,167,1991,92,1987,Bring the Noise
TRUE,XTC,UK,168,1991,93,1986,Dear God
TRUE,Pixies,USA,169,1991,94,1989,Wave Of Mutilation
TRUE,Jesus Jones,UK,170,1991,95,1989,Info Freako
TRUE,The Go-Betweens,Australia,171,1991,96,1983,Cattle and Cane
TRUE,The Clash,UK,172,1991,97,1979,London Calling
TRUE,U2,Ireland,173,1991,98,1984,Bad
TRUE,Nick Cave & The Bad Seeds,Australia,174,1991,99,1988,Deanna
TRUE,Prince,USA,175,1991,100,1991,Cream
FALSE,Queens of the Stone Age,USA,176,2002,1,2002,No One Knows
FALSE,Grinspoon,Australia,177,2002,2,2002,Chemical Heart
FALSE,The Waifs,Australia,178,2002,3,2002,London Still
FALSE,1200 Techniques,Australia,179,2002,4,2002,Karma
FALSE,The Vines,Australia,180,2002,5,2002,Get Free
FALSE,Machine Gun Fellatio,Australia,181,2002,6,2002,Rollercoaster
FALSE,Eminem,USA,182,2002,7,2002,Lose Yourself
FALSE,Machine Gun Fellatio,Australia,183,2002,8,2002,Pussytown
FALSE,Red Hot Chili Peppers,USA,184,2002,9,2002,By the Way
FALSE,Silverchair,Australia,185,2002,10,2002,The Greatest View
FALSE,Foo Fighters,USA,186,2002,11,2002,The One
FALSE,Foo Fighters,USA,187,2002,13,2002,All My Life
FALSE,Grinspoon,Australia,188,2002,14,2002,Lost Control
FALSE,Grinspoon,Australia,189,2002,15,2002,No Reason
FALSE,Red Hot Chili Peppers,USA,190,2002,16,2002,The Zephyr Song
FALSE,Eminem,USA,191,2002,17,2002,Without Me
FALSE,System of a Down,USA,192,2002,18,2002,Toxicity
FALSE,The Vines,Australia,193,2002,19,2002,Highly Evolved
FALSE,Audioslave,USA,194,2002,20,2002,Cochise
FALSE,The Vines,Australia,195,2002,21,2002,Outtathaway!!
FALSE,Ben Lee,Australia,196,2002,22,2002,"Something Borrowed, Something Blue"
FALSE,Foo Fighters,USA,197,2002,23,2002,Times Like These
FALSE,Silverchair,Australia,198,2002,25,2002,Without You
FALSE,Salmon Hater,Australia,199,2002,26,2002,6.66
FALSE,John Butler Trio,Australia,200,2002,27,2002,Home Is Where the Heart Is
FALSE,Pearl Jam,USA,201,2002,28,2002,I Am Mine
FALSE,Motor Ace,Australia,202,2002,29,2002,Carry On
FALSE,The Vines,Australia,203,2002,30,2002,Ms. Jackson
FALSE,Bodyjar,Australia,204,2002,31,2002,One in a Million
FALSE,George,Australia,205,2002,32,2002,Release
FALSE,The Hives,Sweden,206,2002,33,2002,Hate to Say I Told You So
FALSE,Pacifier,New Zealand,207,2002,34,2002,Comfort Me
FALSE,Silverchair,Australia,208,2002,35,2002,Luv Your Life
FALSE,Waikiki,Australia,209,2002,36,2002,Here Comes September
FALSE,System of a Down,USA,210,2002,37,2002,Aerials
FALSE,The Drugs,Australia,211,2002,38,2002,The Bold and the Beautiful
FALSE,Coldplay,UK,212,2002,39,2002,In My Place
FALSE,The Whitlams,Australia,213,2002,40,2002,Fall For You
FALSE,George,Australia,214,2002,43,2002,Breaking It Slowly
FALSE,Queens of the Stone Age,USA,215,2002,44,2002,God is in the Radio
FALSE,N.E.R.D,USA,216,2002,46,2002,Rock Star
FALSE,Grinspoon,Australia,217,2002,47,2002,1000 Miles
FALSE,Queens of the Stone Age,USA,218,2002,48,2002,Go with the Flow
FALSE,Jamiroquai,UK,219,2002,50,2002,You Give Me Something
FALSE,Wilcannia Mob,Australia,220,2002,51,2002,Down River
FALSE,The Living End,Australia,221,2002,52,2002,One Said to the Other
FALSE,Basement Jaxx,UK,222,2002,53,2002,Get Me Off
FALSE,The Androids,Australia,223,2002,54,2002,Do it With Madonna
FALSE,Foo Fighters,USA,224,2002,55,2002,Disenchanted Lullaby
FALSE,Queens of the Stone Age,USA,225,2002,56,2002,First It Giveth
FALSE,Jamiroquai,UK,226,2002,57,2002,Love Foolosphy
FALSE,PJ Harvey and Gordon Gano,UK,227,2002,58,2002,Hitting the Ground
FALSE,Machine Gun Fellatio,Australia,228,2002,59,2002,Take It Slow
FALSE,JXL vs Elvis Presley,Netherlands,229,2002,60,2002,A Little Less Conversation
FALSE,Moby,USA,230,2002,61,2002,We Are All Made of Stars
FALSE,Silverchair,Australia,231,2002,62,2002,Across the Night
FALSE,Something for Kate,Australia,232,2002,63,2002,Say Something
FALSE,Gomez,UK,233,2002,64,2002,Shot Shot
FALSE,Area-7,Australia,234,2002,65,2002,Nobody Likes a Bogan
FALSE,Augie March,Australia,235,2002,66,2002,This Train Will Be Taking No Passengers
FALSE,Waikiki,Australia,236,2002,67,2002,New Technology
FALSE,Coldplay,UK,237,2002,69,2002,Clocks
FALSE,Frenzal Rhomb,Australia,238,2002,70,2002,Bucket Bong
FALSE,Basement Jaxx,UK,239,2002,71,2002,Do Your Thing
FALSE,Audioslave,USA,240,2002,72,2002,Show Me How to Live
FALSE,Weezer,USA,241,2002,73,2002,Dope Nose
FALSE,Ms. Dynamite,UK,242,2002,75,2002,Dy-na-mi-tee
FALSE,Silverchair,Australia,243,2002,76,2002,World Upon Your Shoulders
FALSE,The Streets,UK,244,2002,77,2002,Has it Come to This?
FALSE,Badly Drawn Boy,UK,245,2002,78,2002,Something to Talk About
FALSE,You Am I,Australia,246,2002,79,2002,Who Put the Devil in You
FALSE,The Waifs,Australia,247,2002,80,2002,Highway One
FALSE,Ben Harper,USA,248,2002,82,2002,Strawberry Fields Forever
FALSE,28 Days,Australia,249,2002,83,2002,Take Me Away
FALSE,Oasis,UK,250,2002,84,2002,Little By Little
FALSE,The Chemical Brothers,UK,251,2002,85,2002,Star Guitar
FALSE,Eminem,USA,252,2002,86,2002,Cleaning Out My Closet
FALSE,System of a Down,USA,253,2002,87,2002,Innervision
FALSE,Groove Armada,UK,254,2002,89,2002,Purple Haze
FALSE,Badly Drawn Boy,UK,255,2002,90,2002,Silent Sigh
FALSE,Rocket Science,Australia,256,2002,91,2002,Being Followed
FALSE,Antiskeptic,Australia,257,2002,92,2002,Called
FALSE,Tori Amos,USA,258,2002,93,2002,A Sorta Fairytale
FALSE,Machine Translations,Australia,259,2002,95,2002,She Wears a Mask
FALSE,The Waifs,Australia,260,2002,96,2002,Lies
FALSE,U2,Ireland,261,2002,97,2002,Electrical Storm
FALSE,Cartman,Australia,262,2002,98,2002,Shock (Living Without You)
FALSE,Bodyjar,Australia,263,2002,99,2002,Too Drunk to Drive
FALSE,Coldplay,UK,264,2002,100,2002,A Rush of Blood to the Head
FALSE,Mumford & Sons,UK,265,2009,1,2009,Little Lion Man
FALSE,Art vs Science,Australia,266,2009,2,2009,Parlez Vous Francais?
FALSE,Hilltop Hoods,Australia,267,2009,3,2009,Chase That Feeling
FALSE,Phoenix,France,268,2009,4,2009,Lisztomania
FALSE,Bluejuice,Australia,269,2009,5,2009,Broken Leg
FALSE,La Roux,UK,270,2009,6,2009,Bulletproof
FALSE,Lisa Mitchell,Australia,271,2009,7,2009,Coin Laundry
FALSE,Lily Allen,UK,272,2009,8,2009,Not Fair
FALSE,Muse,UK,273,2009,9,2009,Uprising
FALSE,Florence and the Machine,UK,274,2009,10,2009,Dog Days Are Over
FALSE,Yeah Yeah Yeahs,USA,275,2009,11,2009,Heads Will Roll
FALSE,Dizzee Rascal and Armand Van Helden,UK,276,2009,12,2009,Bonkers
FALSE,Phoenix,France,277,2009,13,2009,1901
FALSE,Edward Sharpe and the Magnetic Zeros,USA,278,2009,15,2009,Home
FALSE,Gossip,USA,279,2009,16,2009,Heavy Cross
FALSE,Kasabian,UK,280,2009,17,2009,Fire
FALSE,Bag Raiders,Australia,281,2009,18,2009,Shooting Stars
FALSE,Muse,UK,282,2009,19,2009,Undisclosed Desires
FALSE,Passion Pit,USA,283,2009,20,2009,Sleepyhead
FALSE,The Temper Trap,Australia,284,2009,21,2009,Fader
FALSE,Vampire Weekend,USA,285,2009,22,2009,Cousins
FALSE,The Bloody Beetroots,Italy,286,2009,23,2009,Warp 1.9 {ft. Steve Aoki}
FALSE,Flight of the Conchords,New Zealand,287,2009,24,2009,Carol Brown
FALSE,Yeah Yeah Yeahs,USA,288,2009,25,2009,Zero
FALSE,La Roux,UK,289,2009,27,2009,In for the Kill
FALSE,Sarah Blasko,Australia,290,2009,29,2009,All I Want
FALSE,Flight of the Conchords,New Zealand,291,2009,30,2009,Hurt Feelings
FALSE,Seth Sentry,Australia,292,2009,31,2009,The Waitress Song
FALSE,Paul Dempsey,Australia,293,2009,32,2009,Ramona Was a Waitress
FALSE,Kid Cudi,USA,294,2009,33,2009,Pursuit of Happiness {ft. MGMT & Ratatat}
FALSE,Little Birdy,Australia,295,2009,34,2009,Brother
FALSE,Muse,UK,296,2009,35,2009,Resistance
FALSE,Hilltop Hoods,Australia,297,2009,37,2009,Still Standing
FALSE,Passion Pit,USA,298,2009,38,2009,Little Secrets
FALSE,The John Butler Trio,Australia,299,2009,39,2009,One Way Road
FALSE,Angus & Julia Stone,Australia,300,2009,40,2009,And the Boys
FALSE,Simian Mobile Disco,UK,301,2009,41,2009,Audacity of Huge {ft. Chris Keating}
FALSE,British India,Australia,302,2009,42,2009,Vanilla
FALSE,The Bloody Beetroots,Italy,303,2009,43,2009,Awesome {ft. The Cool Kids}
FALSE,Florence and the Machine,UK,304,2009,44,2009,Rabbit Heart (Raise It Up)
FALSE,Florence and the Machine,UK,305,2009,45,2009,Drumming Song
FALSE,Bon Iver,USA,306,2009,46,2009,Blood Bank
FALSE,Karnivool,Australia,307,2009,47,2009,Set Fire to the Hive
FALSE,The Temper Trap,Australia,308,2009,48,2009,Science of Fear
FALSE,Powderfinger,Australia,309,2009,49,2009,All of the Dreamers
FALSE,Sia,Australia,310,2009,50,2009,Buttons {CSS Remix}
FALSE,Kasabian,UK,311,2009,51,2009,Where Did All the Love Go?
FALSE,Vampire Weekend,USA,312,2009,52,2009,Horchata
FALSE,Miike Snow,Sweden,313,2009,53,2009,Animal
FALSE,Arctic Monkeys,UK,314,2009,54,2009,Crying Lightning
FALSE,Franz Ferdinand,UK,315,2009,55,2009,No You Girls
FALSE,The xx,UK,316,2009,56,2009,Islands
FALSE,Philadelphia Grand Jury,Australia,317,2009,57,2009,The Good News
FALSE,The Temper Trap,Australia,318,2009,58,2009,Love Lost
FALSE,Lily Allen,UK,319,2009,60,2009,22
FALSE,Grizzly Bear,USA,320,2009,61,2009,Two Weeks
FALSE,Bloc Party,UK,321,2009,62,2009,One More Chance
FALSE,Karnivool,Australia,322,2009,63,2009,All I Know
FALSE,The Middle East,Australia,323,2009,64,2009,Blood
FALSE,Eskimo Joe,Australia,324,2009,65,2009,Foreign Land
FALSE,Illy,Australia,325,2009,66,2009,Pictures
FALSE,Washington,Australia,326,2009,67,2009,Cement
FALSE,The Prodigy,UK,327,2009,68,2009,Omen
FALSE,Death Cab for Cutie,USA,328,2009,69,2009,Meet Me on the Equinox
FALSE,Animal Collective,USA,329,2009,70,2009,My Girls
FALSE,Bertie Blackman,Australia,330,2009,71,2009,Byrds of Prey
FALSE,MSTRKRFT,Canada,331,2009,73,2009,Heartbreaker {ft. John Legend}
FALSE,Art vs Science,Australia,332,2009,74,2009,Friend in the Field
FALSE,Wolfmother,Australia,333,2009,75,2009,New Moon Rising
FALSE,Julian Casablancas,USA,334,2009,76,2009,11th Dimension
FALSE,Tame Impala,Australia,335,2009,78,2009,Remember Me
FALSE,Yves Klein Blue,Australia,336,2009,79,2009,Getting Wise
FALSE,Dizzee Rascal,UK,337,2009,80,2009,Holiday
FALSE,Mumford & Sons,UK,338,2009,81,2009,The Cave
FALSE,Miami Horror,Australia,339,2009,82,2009,Sometimes
FALSE,Basement Jaxx,UK,340,2009,83,2009,Raindrops
FALSE,Muse,UK,341,2009,84,2009,United States of Eurasia
FALSE,Kasabian,UK,342,2009,85,2009,Underdog
FALSE,Flight of the Conchords,New Zealand,343,2009,86,2009,Too Many Dicks (On the Dance Floor)
FALSE,The Middle East,Australia,344,2009,87,2009,The Darkest Side
FALSE,NOFX,USA,345,2009,88,2009,Creeping Out Sara
FALSE,Jay-Z,USA,346,2009,89,2009,D.O.A. (Death of Auto-Tune)
FALSE,Florence and the Machine,UK,347,2009,90,2009,Kiss with a Fist
FALSE,Friendly Fires,UK,348,2009,92,2009,Skeleton Boy
FALSE,Bertie Blackman,Australia,349,2009,93,2009,Thump
FALSE,Regina Spektor,USA,350,2009,94,2009,Blue Lips
FALSE,Silversun Pickups,USA,351,2009,95,2009,Panic Switch
FALSE,Deadmau5,Canada,352,2009,96,2009,Ghosts N Stuff
FALSE,Regina Spektor,USA,353,2009,97,2009,Laughing With
FALSE,Them Crooked Vultures,USA,354,2009,98,2009,New Fang
FALSE,Tegan and Sara,Canada,355,2009,99,2009,Hell
FALSE,Foo Fighters,USA,356,2009,100,2009,Wheels
TRUE,Nirvana,USA,357,2009,1,1991,Smells Like Teen Spirit
TRUE,Rage Against the Machine,USA,358,2009,2,1992,Killing in the Name
TRUE,Jeff Buckley,USA,359,2009,3,1994,Hallelujah
TRUE,Joy Division,UK,360,2009,4,1980,Love Will Tear Us Apart
TRUE,Radiohead,UK,361,2009,5,1997,Paranoid Android
TRUE,Queen,UK,362,2009,6,1975,Bohemian Rhapsody
TRUE,Jeff Buckley,USA,363,2009,7,1994,Last Goodbye
TRUE,Red Hot Chili Peppers,USA,364,2009,8,1991,Under the Bridge
TRUE,Foo Fighters,USA,365,2009,9,1997,Everlong
TRUE,Led Zeppelin,UK,366,2009,10,1971,Stairway to Heaven
TRUE,John Lennon,UK,367,2009,11,1971,Imagine
TRUE,Oasis,UK,368,2009,12,1995,Wonderwall
TRUE,Radiohead,UK,369,2009,13,1992,Creep
TRUE,The Verve,UK,370,2009,14,1997,Bitter Sweet Symphony
TRUE,Radiohead,UK,371,2009,15,1997,Karma Police
TRUE,Pink Floyd,UK,372,2009,16,1975,Wish You Were Here
TRUE,Hilltop Hoods,Australia,373,2009,17,2003,The Nosebleed Section
TRUE,Muse,UK,374,2009,18,2006,Knights of Cydonia
TRUE,Metallica,USA,375,2009,19,1988,One
TRUE,The White Stripes,USA,376,2009,20,2003,Seven Nation Army
TRUE,Powderfinger,Australia,377,2009,21,2000,These Days
TRUE,Massive Attack,UK,378,2009,22,1998,Teardrop
TRUE,Hunters & Collectors,Australia,379,2009,23,1985,Throw Your Arms Around Me
TRUE,The Beatles,UK,380,2009,24,1967,A Day in the Life
TRUE,Pearl Jam,USA,381,2009,25,1991,Alive
TRUE,Michael Jackson,USA,382,2009,26,1984,Thriller
TRUE,Powderfinger,Australia,383,2009,27,2000,My Happiness
TRUE,Radiohead,UK,384,2009,28,1995,Fake Plastic Trees
TRUE,Pixies,USA,385,2009,29,1988,Where Is My Mind?
TRUE,The Jimi Hendrix Experience,USA,386,2009,30,1968,All Along the Watchtower
TRUE,Metallica,USA,387,2009,31,1991,Enter Sandman
TRUE,New Order,UK,388,2009,32,1983,Blue Monday
TRUE,Silverchair,Australia,389,2009,33,1994,Tomorrow
TRUE,The Living End,Australia,390,2009,34,1997,Prisoner of Society
TRUE,The Smashing Pumpkins,USA,391,2009,35,1996,1979
TRUE,Nick Cave & The Bad Seeds,Australia,392,2009,36,1997,Into My Arms
TRUE,Tool,USA,393,2009,37,1996,Stinkfist
TRUE,The Killers,USA,394,2009,38,2004,Mr. Brightside
TRUE,Pearl Jam,USA,395,2009,39,1994,Better Man
TRUE,Nirvana,USA,396,2009,40,1991,Come as You Are
TRUE,Michael Jackson,USA,397,2009,41,1983,Billie Jean
TRUE,Bloc Party,UK,398,2009,42,2005,Banquet
TRUE,The Beach Boys,USA,399,2009,43,1966,God Only Knows
TRUE,The Beatles,UK,400,2009,44,1968,Hey Jude
TRUE,Queens of the Stone Age,USA,401,2009,45,2002,No One Knows
TRUE,Faith No More,USA,402,2009,46,1990,Epic
TRUE,The John Butler Trio,Australia,403,2009,47,2001,Betterman
TRUE,Beastie Boys,USA,404,2009,48,1994,Sabotage
TRUE,The Smashing Pumpkins,USA,405,2009,51,1995,Bullet with Butterfly Wings
TRUE,You Am I,Australia,406,2009,52,1994,Berlin Chair
