artist,country,releaseyear
Angus & Julia Stone,Australia,2009
Simian Mobile Disco,UK,2009
British India,Australia,2009
Bon Iver,USA,2009
Karnivool,Australia,2009
Powderfinger,Australia,2009
Sia,Australia,2009
Miike Snow,Sweden,2009
Arctic Monkeys,UK,2009
Franz Ferdinand,UK,2009
The xx,UK,2009
Philadelphia Grand Jury,Australia,2009
Grizzly Bear,USA,2009
Bloc Party,UK,2009
The Middle East,Australia,2009
Eskimo Joe,Australia,2009
Illy,Australia,2009
Washington,Australia,2009
The Prodigy,UK,2009
Death Cab for Cutie,USA,2009
Animal Collective,USA,2009
Bertie Blackman,Australia,2009
MSTRKRFT,Canada,2009
Wolfmother,Australia,2009
Julian Casablancas,USA,2009
Tame Impala,Australia,2009
Yves Klein Blue,Australia,2009
Dizzee Rascal,UK,2009
Miami Horror,Australia,2009
Basement Jaxx,UK,2009
NOFX,USA,2009
Jay-Z,USA,2009
Friendly Fires,UK,2009
Regina Spektor,USA,2009
Silversun Pickups,USA,2009
Deadmau5,Canada,2009
Them Crooked Vultures,USA,2009
Tegan and Sara,Canada,2009
Foo Fighters,USA,2009
Rage Against the Machine,USA,1992
Jeff Buckley,USA,1994
Joy Division,UK,1980
Radiohead,UK,1997
Foo Fighters,USA,1997
John Lennon,UK,1971
Oasis,UK,1995
Radiohead,UK,1992
The Verve,UK,1997
Hilltop Hoods,Australia,2003
Muse,UK,2006
Metallica,USA,1988
The White Stripes,USA,2003
Powderfinger,Australia,2000
Massive Attack,UK,1998
The Beatles,UK,1967
Pearl Jam,USA,1991
Michael Jackson,USA,1984
Radiohead,UK,1995
Pixies,USA,1988
Silverchair,Australia,1994
The Living End,Australia,1997
Nick Cave & The Bad Seeds,Australia,1997
The Killers,USA,2004
Pearl Jam,USA,1994
Michael Jackson,USA,1983
Bloc Party,UK,2005
The Beach Boys,USA,1966
The Beatles,UK,1968
Faith No More,USA,1990
The John Butler Trio,Australia,2001
Beastie Boys,USA,1994
The Smashing Pumpkins,USA,1995
You Am I,Australia,1994
Bob Dylan,USA,1965
Tool,USA,1997
Daft Punk,France,1997
Augie March,Australia,2006
Johnny Cash,USA,2003
Blur,UK,1997
Nine Inch Nails,USA,1994
AC/DC,Australia,1990
Underworld,UK,1995
Elton John,UK,1971
Ben Folds Five,USA,1997
Blink-182,USA,1997
The Shins,USA,2001
Green Day,USA,1997
Gotye,Australia,2006
The Smashing Pumpkins,USA,1993
David Bowie,UK,1971
The Rolling Stones,UK,1966
Pulp,UK,1995
System of a Down,USA,2001
Placebo,UK,1999
Bob Marley & The Wailers,Jamaica,1974
The Dandy Warhols,USA,2000
The Beatles,UK,1969
Coldplay,UK,2000
The Rolling Stones,UK,1969
Kings of Leon,USA,2008
AC/DC,Australia,1980
Bon Iver,USA,2008
Modest Mouse,USA,2004
Stevie Wonder,USA,1972
Daft Punk,France,2000
Midnight Oil,Australia,1987
Led Zeppelin,UK,1975
TV on the Radio,USA,2006
Franz Ferdinand,UK,2004
Angus & Julia Stone,Australia,2010
Little Red,Australia,2010
Ou Est Le Swimming Pool,UK,2010
Birds of Tokyo,Australia,2010
Boy & Bear,Australia,2010
Adrian Lux,Sweden,2010
Cee-Lo Green,USA,2010
The Wombats,UK,2010
Art vs Science,Australia,2010
Mark Ronson & The Business Intl.,UK,2010
Pendulum,Australia,2010
Drapht,Australia,2010
Sia,Australia,2010
Kanye West,USA,2010
Duck Sauce,USA,2010
The Jezabels,Australia,2010
Flight Facilities,Australia,2010
Washington,Australia,2010
Two Door Cinema Club,UK,2010
Children Collide,Australia,2010
Bliss n Eso,Australia,2010
Gotye,Australia,2010
Crystal Castles,Canada,2010
Dizzee Rascal & Florence and the Machine,UK,2010
Darwin Deez,USA,2010
Illy,Australia,2010
Yeasayer,USA,2010
The National,USA,2010
Foster the People,USA,2010
Tame Impala,Australia,2010
The Naked and Famous,New Zealand,2010
Chiddy Bang,USA,2010
Gorillaz,UK,2010
The John Butler Trio,Australia,2010
Yolanda Be Cool & DCUP,Australia,2010
Bag Raiders,Australia,2010
Hot Chip,UK,2010
The John Steel Singers,Australia,2010
Miami Horror,Australia,2010
Vampire Weekend,USA,2010
Example,UK,2010
Arcade Fire,Canada,2010
Gypsy & the Cat,Australia,2010
Dead Letter Circus,Australia,2010
Cold War Kids,USA,2010
Andy Bull,Australia,2010
Groove Armada,UK,2010
Hungry Kids of Hungary,Australia,2010
Kings of Leon,USA,2010
Big Boi,USA,2010
Klaxons,UK,2010
The Black Keys,USA,2010
Evil Eddie,Australia,2010
Interpol,USA,2010
The Bedroom Philosopher,Australia,2010
LCD Soundsystem,USA,2010
Xavier Rudd,Australia,2010
Broken Bells,USA,2010
Jonsi,Iceland,2010
Parkway Drive,Australia,2010
Foals,UK,2010
Muse,UK,2010
Denis Leary,USA,1993
Radiohead,UK,1993
The Cranberries,Ireland,1993
Blind Melon,USA,1993
The Breeders,USA,1993
Rage Against the Machine,USA,1993
U2,Ireland,1993
Pearl Jam,USA,1993
The Cruel Sea,Australia,1993
Atomic Swing,Sweden,1993
R.E.M.,USA,1993
Stone Temple Pilots,USA,1993
Red Hot Chili Peppers,USA,1993
Violent Femmes,USA,1993
Iggy Pop,USA,1993
Urge Overkill,USA,1993
Cypress Hill,USA,1993
Pet Shop Boys,UK,1993
Neneh Cherry & Michael Stipe,USA,1993
Nirvana,USA,1993
Nick Cave & The Bad Seeds,Australia,1993
Bjork,Iceland,1993
Belly,USA,1993
Efua,UK,1993
Tool,USA,1993
Lenny Kravitz,USA,1993
Ace of Base,Sweden,1993
k.d. lang,Canada,1993
Paw,USA,1993
Porno for Pyros,USA,1993
US3,UK,1993
Salt-N-Pepa,USA,1993
Hoodoo Gurus,Australia,1993
Juliana Hatfield,USA,1993
Dinosaur Jr.,USA,1993
Yothu Yindi,Australia,1993
Gabrielle,UK,1993
Headless Chickens,New Zealand,1993
King Missile,USA,1993
Chaka Demus & Pliers,Jamaica,1993
Living Colour,USA,1993
Alice in Chains,USA,1993
Soul Asylum,USA,1993
Buffalo Tom,USA,1993
Hunters and Collectors,Australia,1993
Deborah Conway,Australia,1993
Crowded House,Australia,1993
Christine Anu & Paul Kelly,Australia,1993
Faith No More,USA,1993
The Sharp,Australia,1993
Screaming Trees,USA,1993
New Order,UK,1993
Utah Saints,UK,1993
Apache Indian,UK,1993
Culture Beat,Germany,1993
Suede,UK,1993
Ed Kuepper,Australia,1993
Barefoot,Australia,1993
Arrested Development,USA,1993
Caligula,Australia,1993
The Badloves,Australia,1993
East 17,UK,1993
The Lemonheads,USA,1993
Underground Lovers,Australia,1993
Green Jelly,USA,1993
Swoop,Australia,1993
Grant Lee Buffalo,USA,1993
Mixed Relations,Australia,1993
Blur,UK,1993
Things of Stone and Wood,Australia,1993
Depeche Mode,UK,1993
Inner Circle,Jamaica,1993
"10,000 Maniacs",USA,1993
Kate Bush,UK,1993
Kev Carmody,Australia,1993
The Shamen,UK,1993
Van Morrison & John Lee Hooker,UK,1993
The Offspring,USA,1998
Ben Lee,Australia,1998
Hole,USA,1998
Korn,USA,1998
Regurgitator,Australia,1998
Jebediah,Australia,1998
Powderfinger,Australia,1998
You Am I,Australia,1998
The Living End,Australia,1998
U2,Ireland,1998
Ben Folds Five,USA,1998
They Might Be Giants,USA,1998
Josh Abrahams & Amiel Daemion,Australia,1998
Grinspoon,Australia,1998
Wyclef Jean,USA,1998
Chef,USA,1998
Marcy Playground,USA,1998
Custard,Australia,1998
Beastie Boys,USA,1998
Jeff Buckley,USA,1998
Cake,USA,1998
Paul McDermott,Australia,1998
Eskimo Joe,Australia,1998
Barenaked Ladies,Canada,1998
Harvey Danger,USA,1998
TISM,Australia,1998
The Whitlams,Australia,1998
The Mighty Mighty Bosstones,USA,1998
Adam Sandler,USA,1998
Placebo,UK,1998
Marilyn Manson,USA,1998
The Smashing Pumpkins,USA,1998
Pearl Jam,USA,1998
Catatonia,UK,1998
Green Day,USA,1998
Everclear,USA,1998
Frenzal Rhomb,Australia,1998
Radiohead,UK,1998
Propellerheads & Shirley Bassey,UK,1998
Ani DiFranco,USA,1998
Fatboy Slim,UK,1998
Antenna,Australia,1998
Rage Against the Machine,USA,1998
Metallica,USA,1998
Dandy Warhols,USA,1998
Pollyanna,Australia,1998
Manic Street Preachers,UK,1998
Happyland,Australia,1998
Stardust,France,1998
Foo Fighters,USA,1998
Rob Zombie,USA,1998
Fuel,USA,1998
Babybird,UK,1998
Bran Van 3000,Canada,1998
Drugstore,UK,1998
The Superjesus,Australia,1998
Something for Kate,Australia,1998
Garbage,USA,1998
Space with Cerys Matthews,UK,1998
Silverchair,Australia,1998
Beck,USA,1998
Midnight Oil,Australia,1998
Even,Australia,1998
Superjesus,Australia,1998
Not From There,Australia,1998
Missy Higgins,Australia,2004
Eskimo Joe,Australia,2004
Spiderbait,Australia,2004
John Butler Trio,Australia,2004
Little Birdy,Australia,2004
Powderfinger,Australia,2004
The White Stripes,USA,2004
The Dresden Dolls,USA,2004
Ben Lee,Australia,2004
Grinspoon,Australia,2004
Butterfingers,Australia,2004
The Streets,UK,2004
William Shatner,Canada,2004
Green Day,USA,2004
Scissor Sisters,USA,2004
Beastie Boys,USA,2004
Kings of Leon,USA,2004
The Bees,UK,2004
Machine Gun Fellatio,Australia,2004
Scribe,New Zealand,2004
Jeff Buckley,USA,2004
Ben Folds,USA,2004
U2,Ireland,2004
Faithless,UK,2004
Lior,Australia,2004
Dogs Die in Hot Cars,UK,2004
Wolfmother,Australia,2004
Rammstein,Germany,2004
Elliott Smith,USA,2004
Regurgitator,Australia,2004
Placebo,UK,2004
The Waifs,Australia,2004
The Hives,Sweden,2004
Xavier Rudd,Australia,2004
Evermore,New Zealand,2004
Your Wedding Night,Australia,2004
Deep Dish,USA,2004
N.E.R.D.,USA,2004
Epicure,Australia,2004
Chemical Brothers,UK,2004
Devendra Banhart,USA,2004
The Black Keys,USA,2004
The Freestylers,UK,2004
Starsailor,UK,2004
The Polyphonic Spree,USA,2004
The Panda Band,Australia,2004
Interpol,USA,2004
Snow Patrol,UK,2004
Dallas Crane,Australia,2004
The Dissociatives,Australia,2004
End of Fashion,Australia,2004
Mylo,UK,2004
The Unicorns,Canada,2004
Sia,Australia,2004
A Perfect Circle,USA,2004
Jet,Australia,2004
The Greenskeepers,USA,2004
Decoder Ring,Australia,2004
The Vines,Australia,2004
After the Fall,Australia,2004
Gyroscope,Australia,2004
Gomez,UK,2004
The Butterfly Effect,Australia,2004
The Sugarcubes,Iceland,1987
Black Box,Italy,1989
Public Enemy,USA,1989
N.W.A.,USA,1988
Neneh Cherry,Sweden,1988
Prince,USA,1987
Prince,USA,1986
Soul II Soul,UK,1989
Aretha Franklin,USA,1965
The Smiths,UK,1985
Died Pretty,Australia,1989
ABBA,Sweden,1975
David Bowie,UK,1977
Elvis Costello,UK,1977
Simple Minds,UK,1981
New Order,UK,1982
Pop Will Eat Itself,UK,1989
Hunters & Collectors,Australia,1986
Elvis Costello,UK,1986
Sakamoto And Sylvian,Japan,1983
Concrete Blonde,USA,1989
Talking Heads,USA,1981
Madonna,USA,1985
Double Trouble And Rebel MC,UK,1989
The Go-Betweens,Australia,1987
Laughing Clowns,Australia,1984
Sonic Youth,USA,1988
Marvin Gaye,USA,1982
De La Soul,USA,1988
Tall Tales And True,Australia,1989
Lou Reed,USA,1972
The Whitlams,Australia,1997
Chumbawamba,UK,1997
Pauline Pantsdown,Australia,1997
Marilyn Manson,USA,1997
Jebediah,Australia,1997
Silverchair,Australia,1997
The Superjesus,Australia,1997
Cordrazine,Australia,1997
Regurgitator,Australia,1997
Cake,USA,1997
Spiderbait,Australia,1997
Korn,USA,1997
Nine Inch Nails,USA,1997
Dana Lyons,USA,1997
Third Eye Blind,USA,1997
Faith No More,USA,1997
Pendulum {Melbourne},Australia,1997
Grinspoon,Australia,1997
The Sundays,UK,1997
Ween,USA,1997
Metallica,USA,1997
Something for Kate,Australia,1997
Beck,USA,1997
Cornershop,UK,1997
The Tea Party,Canada,1997
The Cure,UK,1997
The Bloodhound Gang,USA,1997
Custard,Australia,1997
Arkarna,UK,1997
Everclear,USA,1997
Garbage,USA,1997
Red Hot Chili Peppers,USA,1997
The Prodigy,UK,1997
My Drug Hell,UK,1997
Diana Ah Naid,Australia,1997
White Town,UK,1997
They Might Be Giants,USA,1997
The Smashing Pumpkins,USA,1997
The Lemonheads,USA,1997
Powderfinger,Australia,1997
The Offspring,USA,1997
Jamiroquai,UK,1997
Reef,UK,1997
Robyn Loau,Australia,1997
Front End Loader,Australia,1997
Rage Against the Machine,USA,1997
Space,UK,1997
Imani Coppola,USA,1997
The Cardigans,Sweden,1997
The Mark of Cain,Australia,1997
Portishead,UK,1997
Ben Harper,USA,1997
Kylie Minogue,Australia,1997
Primus,USA,1997
Lard,Australia,1997
Brainbug,UK,1997
Sneaker Pimps,UK,1997
Beaverloop,Australia,1997
Dandy Warhols,USA,1997
Pennywise,USA,1997
Blue Boy,UK,1997
Sidewinder,Australia,1997
Skunkhour,Australia,1997
Local H,USA,1997
Arkarna,USA,1997
Luscious Jackson,USA,1997
Effigy,Australia,1997
Alex Lloyd,Australia,2001
Something for Kate,Australia,2001
John Butler Trio,Australia,2001
Alien Ant Farm,USA,2001
Weezer,USA,2001
The Avalanches,Australia,2001
Gorillaz,UK,2001
Cake,USA,2001
Garbage,USA,2001
The Strokes,USA,2001
Tool,USA,2001
28 Days/Apollo 440,Australia,2001
Rage Against the Machine,USA,2001
George,Australia,2001
Fatboy Slim,UK,2001
Gerling,Australia,2001
Eskimo Joe,Australia,2001
Jamiroquai,UK,2001
Regurgitator,Australia,2001
Jebediah,Australia,2001
Machine Gun Fellatio,Australia,2001
Placebo,UK,2001
James,UK,2001
Dido,UK,2001
Radiohead,UK,2001
New Order,UK,2001
The Cruel Sea,Australia,2001
U2,Ireland,2001
The Eels,USA,2001
Tori Amos,USA,2001
The Smashing Pumpkins,USA,2001
Augie March,Australia,2001
Paul Mac,Australia,2001
Nick Cave & The Bad Seeds,Australia,2001
Motor Ace,Australia,2001
Blink-182,USA,2001
Linkin Park,USA,2001
You Am I,Australia,2001
Jimmy Eat World,USA,2001
At the Drive-In,USA,2001
Daft Punk,France,2001
The White Stripes,USA,2001
Ash,Ireland,2001
Ben Folds,USA,2001
Blueline Medic,Australia,2001
Unwritten Law,USA,2001
Rammstein,Germany,2001
Spiderbait,Australia,2001
The Living End,Australia,2001
Muse,UK,2001
Groove Armada,UK,2001
Big Heavy Stuff,Australia,2001
Cruel Sea,Australia,2001
R.E.M.,USA,2001
Crazy Town,USA,2001
Ash,UK,2001
Supermen Lovers,France,2001
Rhubarb,Australia,2001
Michael Franti and Spearhead,USA,2001
Sum 41,Canada,2001
Butthole Surfers,USA,2001
Depeche Mode,UK,2001
Good Charlotte,USA,2001
Pennywise,USA,2001
Superheist,Australia,2001
Faithless,UK,2001
The Chemical Brothers,UK,2001
Endorphin,Australia,2001
Muse,UK,2007
Silverchair,Australia,2007
Kings of Leon,USA,2007
The John Butler Trio,Australia,2007
Faker,Australia,2007
Foo Fighters,USA,2007
Daft Punk,France,2007
Cold War Kids,USA,2007
Bluejuice,Australia,2007
Kaiser Chiefs,UK,2007
Muscles,Australia,2007
Powderfinger,Australia,2007
Gyroscope,Australia,2007
M.I.A,UK,2007
The Presets,Australia,2007
Architecture in Helsinki,Australia,2007
Kanye West,USA,2007
The Chemical Brothers,UK,2007
The White Stripes,USA,2007
Bloc Party,UK,2007
Urthboy,Australia,2007
Hilltop Hoods,Australia,2007
Operator Please,Australia,2007
Silversun Pickups,USA,2007
Regina Spektor,USA,2007
Angus and Julia Stone,Australia,2007
Feist,Canada,2007
Justice,France,2007
The Beautiful Girls,Australia,2007
Cut Copy,Australia,2007
Modest Mouse,USA,2007
Tegan and Sara,Canada,2007
Lupe Fiasco,USA,2007
My Chemical Romance,USA,2007
British India,Australia,2007
Cog,Australia,2007
Arctic Monkeys,UK,2007
The Cat Empire,Australia,2007
Missy Higgins,Australia,2007
Kisschasy,Australia,2007
Klaxons,UK,2007
Xavier Rudd,Australia,2007
Midnight Juggernauts,Australia,2007
The Fratellis,UK,2007
Birds of Tokyo,Australia,2007
Karnivool,Australia,2007
The Shins,USA,2007
Editors,UK,2007
Amy Winehouse,UK,2007
Ben Kweller,USA,2007
Digitalism,Germany,2007
The Butterfly Effect,Australia,2007
Jose Gonzalez,Sweden,2007
Grinspoon,Australia,2007
Kasabian,UK,2007
Josh Pyke,Australia,2007
Arcade Fire,Canada,2007
Wolfmother,Australia,2007
Yeah Yeah Yeahs,USA,2007
Jackson Jackson,Australia,2007
The Cops,Australia,2007
Queens of the Stone Age,USA,2007
Clare Bowditch and the Feeding Set,Australia,2007
The Waifs,Australia,2007
The Bumblebeez,Australia,2007
Radiohead,UK,2007
Ben Lee,Australia,2007
Interpol,USA,2007
The Hives,Sweden,2007
Pnau,Australia,2007
MGMT,USA,2008
Empire of the Sun,Australia,2008
The Presets,Australia,2008
Pez,Australia,2008
Drapht,Australia,2008
Ladyhawke,New Zealand,2008
Pnau,Australia,2008
The Herd,Australia,2008
The Rapture,USA,2008
Cut Copy,Australia,2008
Dizzee Rascal,UK,2008
Flight of the Conchords,New Zealand,2008
